user_serial,total
7750450,140.00
7752924,125.00
7752989,90.00
7753766,95.00
7754238,80.00
7756016,100.00
7756673,80.00
7756893,80.00
7757748,80.00
7758916,80.00
7759220,85.00
7759275,85.00
7759516,80.00
7759573,125.00
7759670,80.00
7759727,80.00
7759779,80.00
7759920,80.00
7759926,80.00
7759947,80.00
7759958,80.00
7760243,85.00
7760319,100.00
7760642,100.00
7760717,140.00
7760826,105.00
7761283,90.00
7761352,125.00
7761713,90.00
7761791,80.00
7762033,80.00
7762034,80.00
7762052,140.00
7762242,90.00
7763039,85.00
7763050,140.00
7763051,145.00
7763061,80.00
7763230,125.00
7763246,110.00
7763371,85.00
7763394,85.00
7763603,80.00
7763629,80.00
7763758,80.00
7763765,85.00
7763775,80.00
7763818,80.00
7763958,135.00
7763980,95.00
7764114,105.00
7764162,80.00
7764320,135.00
7764431,100.00
7764476,80.00
7764727,110.00
7764757,80.00
7764823,80.00
7764924,95.00
7764961,85.00
7764962,135.00
7764984,85.00
7764998,80.00
7765003,135.00
7765058,80.00
7765094,85.00
7765184,80.00
7765331,80.00
7765715,80.00
7769694,125.00
7769923,80.00
7770014,85.00
7770063,95.00
7770090,80.00
7770156,80.00
7770165,85.00
7770171,125.00
7770174,80.00
7770194,80.00
7770196,80.00
7770620,80.00
7770740,80.00
7770777,80.00
7770798,85.00
7770839,90.00
7770850,80.00
7770855,80.00
7770862,80.00
7770916,80.00
7770932,100.00
7771082,140.00
7771090,100.00
7771104,80.00
7771125,80.00
7771199,90.00
7771308,95.00
7771323,80.00
7771334,80.00
7771348,80.00
7771383,100.00
7771421,115.00
7771492,90.00
7771604,80.00
7771622,90.00
7771639,80.00
7771643,85.00
7771707,125.00
7771775,85.00
7771777,150.00
7771788,95.00
7771791,110.00
7771795,85.00
7771837,80.00
7771842,95.00
7771853,80.00
7771904,80.00
7771951,105.00
7771977,85.00
7771980,105.00
7772175,80.00
7772185,80.00
7772191,85.00
7772221,80.00
7772399,80.00
7772422,95.00
7772429,80.00
7772464,80.00
7772560,85.00
7772619,90.00
7772936,80.00
7773120,85.00
7773140,125.00
7773603,85.00
7773769,95.00
7773949,90.00
7774032,80.00
7774071,125.00
7774096,105.00
7774137,90.00
7774145,80.00
7774216,80.00
7774266,90.00
7774345,105.00
7774365,80.00
7774376,120.00
7774413,85.00
7774445,85.00
7774485,110.00
7774497,80.00
7774509,100.00
7774519,80.00
7774554,80.00
7774558,130.00
7774571,80.00
7774574,80.00
7774580,80.00
7774591,80.00
7774592,80.00
7774597,100.00
7774620,125.00
7774635,100.00
7774669,120.00
7774687,80.00
7774848,90.00
7774856,105.00
7774875,95.00
7774937,95.00
7775008,85.00
7775123,105.00
7775133,80.00
7775152,85.00
7775162,80.00
7775166,85.00
7775181,80.00
7775270,105.00
7775348,90.00
7775390,105.00
7775428,85.00
7775446,90.00
7775516,85.00
7775561,125.00
7775577,90.00
7775913,90.00
7775954,95.00
7775986,80.00
7775991,80.00
7776002,85.00
7776009,85.00
7776015,80.00
7776099,135.00
7776625,140.00
7776987,105.00
7777202,85.00
7777306,85.00
7777427,90.00
7777537,80.00
7777568,115.00
7777573,95.00
7777597,80.00
7777672,125.00
7777710,125.00
7777718,90.00
7777729,80.00
7777746,135.00
7777781,85.00
7777782,105.00
7778237,115.00
7778245,80.00
7778347,85.00
7778366,95.00
7778507,80.00
7778516,105.00
7778526,85.00
7778527,80.00
7778601,80.00
7778606,85.00
7778696,80.00
7778743,80.00
7778794,105.00
7778894,95.00
7778952,140.00
7778956,85.00
7778959,105.00
7778971,110.00
7778994,85.00
7779067,120.00
7779069,80.00
7779079,95.00
7779158,85.00
7779347,80.00
7779353,80.00
7779622,80.00
7780056,80.00
7780065,80.00
7780070,80.00
7780123,115.00
7780131,80.00
7780363,90.00
7780433,85.00
7780589,85.00
7780613,80.00
7780901,80.00
7781194,85.00
7781243,140.00
7781402,105.00
7781459,100.00
7781463,95.00
7782089,85.00
7782231,90.00
7782394,95.00
7782421,80.00
7782546,85.00
7783116,95.00
7783453,80.00
7783935,80.00
7784036,80.00
7784290,80.00
7785332,80.00
7785507,125.00
7785867,85.00
7786770,110.00
7787248,80.00
7787985,125.00
7788010,80.00
