Date,Book 1,Book 2,Book 3,Book 4,Book 5
"12,13",1,46,100,157-158,209
"13,13",2,46,100-101,158-159,209
"14,13",3,46,102,159,210
"15,13",4,47,102-103,160,211
"16,13",4,48,103,160,212
"17,13",5,49,103,160,213
"18,13",6,50,103,161,214
"19,13",6,50-51,104,162-163,215-216
"20,13",7,50-51,105,163,216
"21,13",8,52,105,163,216
"22,13",9,52,106,164-165,216
"23,13",10,52,106,165,216
"24,13",11,52,107,165,217
"25,13",11,53,107,165,217
"26,13",12,54,108,166,218
"27,13",13,54-55,108-109,166,218
"28,13",14,55-56,109,167,219
"4,1",15,57,109,167,220
"5,1",16,58,110,168,220
"6,1",17,59,111,168,221
"7,1",18,60,112,168,221-222
"8,1",19,60-61,112,168,222
"11,1",19,61,113,169,223
"12,1",1,62,114,169-170,224
"13,1",2-3,46,114-115,170,224
"25,1",3-4,46,115,170,225
"26,1",4,46,116,171,225
"27,1",5-6,47,116,171-172,225
"28,1",6,48,116,172,209
"29,1",7-8,49,116,173,210-211
"30,1",8-9,50,117,173-174,212-213
"1,2",10-11,51,100-101,157-159,214-215
"2,2",11,52,101-102,159-160,216
"3,2",12,52,103,160-161,216
"4,2",13,52,103-104,161-163,217
"5,2",14,53,104-105,163-165,218
"6,2",15,54,106,165,219
"7,2",16-17,54-55,107,166,220
"8,2",17-18,55-56,108-109,167,221
"9,2",19,57,109,168,222
"10,2",19,58,110-111,168,223-224
"11,2",1-5,59,112,169,224-225
"12,2",5-7,59,113-114,170,225
"13,2",8-11,60,115-116,171,209-215
"14,2",12-15,61,116,172,216-220
"15,2",16-19,61-62,116-117,173,221-225
"16,2",20,63,118,174,226
"17,2",20,63-64,119,175,226
"18,2",21,65-66,120,176,227
"19,2",21,66,121,176-177,228
"20,2",22,66-67,122,178,229
"21,2",22,68,122,179,229
"22,2",22,69,122,179-180,230
"23,2",23,69-70,122,180,231
"24,2",23,71-72,123,181,232
"25,2",24,72,124,181-182,232
"26,2",25,72-73,124-125,182,233
"27,2",25,74-75,126,182,234
"28,2",26,75,127-128,183,235
"29,2",27,76,129,183,235
"30,2",28,76,130,183,236
