Date,Book 1,Book 2,Book 3,Book 4,Book 5
"1,5",1,46,100 - 101,157,209
"1,6",2 - 3,46,100 - 101,158,209
"1,7",4,46,102,159,209
"1,8",4,47,102,160,210
"1,9",,,,,
"1,10",,,,,
"1,11",,,,,
"1,12",5,47,103,160,211
"1,13",6,48,103,161,212
"1,14",,,103,,
"1,15",,,,,
"1,16",,,,,
"1,17",,,,,
"1,18",,,,,
"1,19",,,,,
"1,20",,,,,
"1,21",,,,,
"1,22",,,,,
"1,23",,,,,
"1,24",,,,,
"1,25",,49,,,
"1,26",7-8,50,103,162,213
"1,27",9-10,50,104-105,163,214
"1,28",11,51,104-105,163,215
"1,29",11,51,106-107,163,216
"1,30",12-14,52,106 - 107,164,216
"2,1",12-14,52,106-107,165,216
"2,2",,52,106-107,,
"2,3",12-14,53,108-109,165,217
"2,4",15,54,108-109,165,217
"2,5",16,54,108-109,166-167,218
"2,6",17,55,108-109,166-167,218
"2,7",18,56,10,168,219-220
"2,8",1-3,57,111,168,219-220
"2,9",,58,112,,
"2,10",4-6,59,112,168,219-220
"2,11",7-10,59,113,157-159,221-222
"2,12",11-13,46,100-101,160,221-222
"2,13",14-16,47-48,102,161-162,221-222
"2,14",17-18,49-50,103,163-164,209
"2,15",1-3,49 - 50,104-105,163-164,210-212
"2,16",,51-53,106,165,213-215
"2,17",4-6,51 - 53,107-108,166-167,216
"2,18",7-10,54-55,109,166-167,217-218
"2,19",11-13,56-58,110-111,168,219-220
"2,20",14-18,59,112-113,168,221-222
"2,21",19,60,114-115,169,223
"2,22",19,60,114-115,169,224
"2,23",,61,114-115,170,224
"2,24",20,61,114-115,170,225
"2,25",20,61,116-117,170,225
"2,26",21,62,116-117,171,225
"2,27",21,63,116-117,172,226
"2,28",22,63,116-117,172,226
"2,29",22,64,116-117,173,226
"3,1",,65-66,118,,
"3,2",23,65-66,118,173,227
"3,3",23,65-66,119,174,227
"3,4",24-25,65-66,119,175,227
"3,5",24-25,67-68,120,176,228
"3,6",26,67-68,120,177,229-230
"3,7",27,69,121,178,229-230
"3,8",,69,121,179,229-230
"3,9",27,69,122,179,229-230
"3,10",27,70,122,180,231
"3,11",19-21,71-72,122,180,232
"3,12",19-21,71-72,123,181,232
"3,13",22-25,71-72,124,182,232
"3,14",22-25,60-61,124,182,223-224
"3,15",,62-63,114-115,,225
"3,16",26-27,64-67,116-117,169-170,226
"3,17",26-27,64-67,118-119,171-173,227
"3,18",19-27,68-70,120-121,174-177,228-229
"3,19",19-27,68-70,122,178-180,230-231
"3,20",19-27,71-72,123-124,181-182,232
"3,21",28,73,125,183,233
"3,22",,,,,
"3,23",28,74,126,183,233
"3,24",28,75,127,183,234
"3,25",,,,,
"3,26",,,,,
"3,27",,,,,
"3,28",,,,,
"3,29",,,,,
"3,30",,,,,
"4,1",,,,,
"4,2",,,,,
"4,3",29,75,128,184,235
"4,4",30,75,129,185,235
"4,5",30,76-77,130,186,235
"4,6",,,,,
"4,7",30,76-77,131,186,235
"4,8",30,76-77,132,187,236
"4,9",31,78,133,187,237
"4,10",31,,,,
"4,11",31,78,134,188-189,238
"4,12",32,78,135,190,238
"4,13",,79,,,
"4,14",33,79,135,191,239
"4,15",33,79,135,192,239
"4,16",34,80,136,193,240
"4,17",28,80,136,193,240
"4,18",29-30,81,136,193,240
"4,19",29-30,82-83,137-138,194,241
"4,20",,,,,
"4,21",29-30,84,137-138,194,241
"4,22",31-32,85,139,195,242
"4,23",33-34,73-75,140-141,195,242
"4,24",33-34,73-75,140-141,183,233-234
"4,25",28,76-77,125-128,184-185,235
"4,26",29-30,78,129-130,186-187,235
"4,27",,,,,
"4,28",29-30,79,131-133,188-189,236-239
"4,29",29-30,80-81,134-135,190-191,236-239
"5,1",31-32,80-81,136-137,192,240
"5,2",33-34,82-85,138-139,193,241
"5,3",33-34,82-85,140-141,194-195,242
"5,4",35,86,142,196,243
"5,5",,,,,
"5,6",35,87,142,196,244
"5,7",36,88,142,197,244
"5,8",36,89,143,198,245
"5,9",36,90,143,198,245
"5,10",37,90,144,199,246-247
"5,11",37,91,144,200,246-247
"5,12",,,,,
"5,13",38,91,145-146,200,246-247
"5,14",38,92-93,147,201,246-247
"5,15",39,92-93,148,201,248
"5,16",40,94,145,202,249-250
"5,17",41-42,94,149,203,249-250
"5,18",41-42,95,149,203,251
"5,19",,,,,
"5,20",41 - 42,95,150,203,252
"5,21",43,95,150,204,253-254
"5,22",43,95,151,205,253-254
"5,23",44,96,151,205,253-254
"5,24",44,96,152,206-207,255-256
"5,25",45,96,152,208,257
"5,26",,,,,
"5,27",45,97,153-154,208,257
"5,28",35-38,97,155-156,196,243-244
"5,29",35-38,97,142,197-199,245-247
"5,30",35 - 38,98,143,200-201,245-247
"6,1",39-40,98,144-146,202-203,248-250
"6,2",41-42,99,147-148,204-206,251-252
"6,3",,,,,
"6,4",43-45,86-89,149,207-208,253-254
"6,5",43-45,90-92,150,196,255-257
"6,6",35-39,93-97,151,197-199,243-244
"6,7",35-39,93-97,152,200-201,245-247
"6,8",40-45,93-97,153-154,202-203,245-247
"6,9",40-45,98-99,155-156,204-206,248-250
"6,10",,,,,
"6,11",35-45,86-99,142-156,207-208,251-253
"6,12",35-45,86-99,142-156,196-208,254-257
