670992,I did a special act of ????? ?? ???-Honoring your mother and father. Write your special act.
670999,I did Kapparos (anytime before ??? ?????)
671006,I fasted part of the day
671013,I learned something about the ??? ???''?
671020,I helped prepare for ??? ???
671027,I shook ???? and ?????
671039,"I davened my ?????, ????, & ??? quotas "
671159,I went to ??? and davened my ????? and ???? quotas nicely
861627,I helped prepare for ??? ???
861628,"I reminded all the girls in my family to give ???? and light candles using their own candlesticks, and in their ??? clothing"
861629,I said Tehillim before Maariv
861630,I went to Shul and davened Maariv nicely
861631,"I wished someone ""Leshona Tova Tikoseiv Visaichosaim"""
861632,"I said ""Yehi Ratzon"" and ate an apple dipped in honey"
861633,I tasted a pomegranate
861634,"I ate from the head of a ram, sheep,or fish"
861635,I went to Shul and davened Shacharis nicely
861636,I followed Krias Hatorah inside
861637,I heard 130 Tekiyos
861638,I went under a ???? for Duchening
861639,"I helped prepare, serve, or cleanup by any meal"
861640,I said a ??? ???? during any meal
861641,I sang a niggun during the meal
861642,I said extra Tehillim on Yom Tov
861643,I went to a body of water and said Tashlich
861644,I davened Mincha and Maariv 
861645,I ate a new fruit for the Brocha Shehecheyanu
861646,I went to Shul and davened Shacharis nicely
861647,I followed Krias Hatorah inside
861648,I heard 100 Tekiyos without speaking between them about things that dont have to do with davening + the extra 30
861649,I went under a ???? for Duchening
861650,"I helped setup, serve, or clean up by any meal"
861651,I sang a niggun during the meal
861652,I said a ??? ???? during any meal
861653,I said extra Tehillim on Yom Tov
861654,I went to Shul and davened Mincha and Maariv nicely
861655,I went to a Farbrengen on Shabbos and sang the Rebbaims Niggunim
861656,I fasted part of the day
861657,I gave extra Tzedakah on this day
861658,I followed Krias Hatorah and Haftorah inside
861659,I said my Selichos quota
861660,I davened Mincha with Aneinu (if fasting)
861661,I listened to a ??? ????-? Sicha 
861662,I helped prepare for ??? ???
861663,"I reminded all the girls in my family to give ???? and light candles using their own candlesticks, and in their ??? clothing"
861664,I said Tehillim before Maariv
861665,I went to Shul and davened Maariv nicely
861666,"I wished someone ""Leshona Tova Tikoseiv Visaichosaim"""
861667,"I said ""Yehi Ratzon"" and ate an apple dipped in honey"
861668,I tasted a pomegranate
861669,"I ate from the head of a ram, sheep,or fish"
861670,I went to Shul and davened Shacharis nicely
861671,I followed Krias Hatorah inside
861672,I heard 130 Tekiyos
861673,I went under a ???? for Duchening
861674,"I helped prepare, serve, or cleanup by any meal"
861675,I said a ??? ???? during any meal
861676,I sang a niggun during the meal
861677,I said extra Tehillim on Yom Tov
861678,I went to a body of water and said Tashlich
861679,I davened Mincha and Maariv
861680,I ate a new fruit for the Brocha Shehecheyanu
861681,I went to Shul and davened Shacharis nicely
861682,I followed Krias Hatorah inside
861683,I heard 130 Tekiyos
861684,I went under a ???? for Duchening
861685,"I helped setup, serve, or clean up by any meal"
861686,I sang a niggun during the meal
861687,I said a ??? ???? during any meal
861688,I said extra Tehillim on Yom Tov
861689,I went to Shul and davened Mincha and Maariv nicely
861690,I went to a Farbrengen on Shabbos and sang the Rebbaims Niggunim
861691,I fasted part of the day
861692,I gave extra Tzedakah on this day
861693,I followed Krias Hatorah and Haftorah inside
861694,I said my Selichos quota
861695,I davened Mincha with Aneinu (if fasting)
861696,I listened to a ??? ????-? Sicha 
861697,I listened quietly during Tekiyos
861698,I listened quietly during Tekiyos
861699,I helped prepare for ??? ???
861700,"I reminded all the girls in my family to give ???? and light candles using their own candlesticks, and in their ??? clothing"
861703,"I wished someone ""Leshona Tova Tikoseiv Visaichosaim"""
861704,"I said ""Yehi Ratzon"" and ate an apple dipped in honey"
861705,I tasted a pomegranate
861706,"I ate from the head of a ram, sheep,or fish"
861707,I went to Shul and davened Shacharis nicely
861709,I listened quietly during Tekiyos
861710,I heard 130 Tekiyos
861711,I went under a ???? for Duchening
861712,"I helped prepare, serve, or cleanup by any meal"
861713,I said a ??? ???? during any meal
861714,I sang a niggun during the meal
861716,I went to a body of water and said Tashlich
861718,I ate a new fruit for the Brocha Shehecheyanu
861719,I went to Shul and davened Shacharis nicely
861721,I listened quietly during Tekiyos
861722,I heard 130 Tekiyos
861723,I went under a ???? for Duchening
861724,"I helped setup, serve, or clean up by any meal"
861725,I sang a niggun during the meal
861726,I said a ??? ???? during any meal
861727,I said extra Tehillim on Yom Tov
861729,I went to a Farbrengen on Shabbos and sang the Rebbaims Niggunim
861731,I gave extra Tzedakah on this day
861736,I helped prepare for ??? ???
861737,I gave ???? & lit candles using my own candlesticks and in my ??? clothing
861738,"I wished someone ""Leshona Tova Tikoseiv Visaichosaim"""
861739,"I said ""Yehi Ratzon"" and ate an apple dipped in honey"
861740,I tasted a pomegranate
861741,"I ate from the head of a ram, sheep,or fish"
861742,I went to Shul and davened Shacharis nicely
861743,I listened quietly during Tekiyos
861744,I heard 130 Tekiyos
861745,I listen to Birchas Kohanim
861746,"I helped prepare, serve, or cleanup by any meal"
861747,I said a ??? ???? during any meal
861748,I sang a niggun
861749,I went to a body of water and said Tashlich
861750,I ate a new fruit for the Brocha Shehecheyanu
861751,I went to Shul and davened Shacharis nicely
861752,I listened quietly during Tekiyos
861753,I heard 130 Tekiyos
861754,I listened to ???? ?????
861755,"I helped setup, serve, or clean up by any meal"
861756,I sang a niggun
861757,I said a ??? ???? during any meal
861758,I said extra Tehillim on Yom Tov
861759,I went to a Farbrengen on Shabbos and sang the Rebbaims Niggunim
861760,I gave extra Tzedakah on this day
861761,I davened my Maariv quota nicely
861762,I lit ??? candles using my OWN candlesticks and in my ??? clothing
861763,I helped prepare for ??? ???
861764,I gave ???? & lit candles using my own candlesticks and in my ??? clothing
861765,I said Tehillim before Maariv
861766,I davened Maariv nicely
861767,"I wished someone ""Leshona Tova Tikoseiv Visaichosaim"""
861768,"I said ""Yehi Ratzon"" and ate an apple dipped in honey"
861769,I tasted a pomegranate
861770,"I ate from the head of a ram, sheep,or fish"
861771,I went to Shul and davened Shacharis nicely
861772,I followed Krias Hatorah inside
861773,I listened quietly during Tekiyos
861774,I heard 130 Tekiyos
861775,I listened to ???? ?????
861776,"I helped prepare, serve, or cleanup by any meal"
861777,I said a ??? ???? during any meal
861778,I sang a niggun
