Year,Julian Date,Mission ID,Mission,Kapitelach,Amount,Minutes,Speed
6,2455444,30189,שבת מברכים תשרי,א,1,10,10.0
6,2455472,30196,שבת מברכים חשון,א,1,10,10.0
6,2455500,0,שבת מברכים כסלו,א,1,10,10.0
6,2455535,169249,שבת מברכים טבת,א,1,10,10.0
6,2455563,170476,שבת מברכים שבת,א,1,10,10.0
6,2455591,30220,שבת מברכים אדר,א,1,10,10.0
6,2455619,0,שבת מברכים אדר ב,א,1,10,10.0
6,2455654,30229,שבת מברכים ניסן,א,1,10,10.0
6,2455682,30235,שבת מברכים אייר,א,1,10,10.0
6,2455710,30241,שבת מברכים סיון,א,1,10,10.0
6,2455738,30247,שבת מברכים תמוז,א,1,10,10.0
6,2455773,30253,שבת מברכים מנחם-אב,א,1,10,10.0
6,2455801,30183,שבת מברכים אלול,א,1,10,10.0
7,2455444,30266,שבת מברכים תשרי,א,1,10,10.0
7,2455472,30273,שבת מברכים חשון,א,1,10,10.0
7,2455500,0,שבת מברכים כסלו,א,1,10,10.0
7,2455535,169250,שבת מברכים טבת,א,1,10,10.0
7,2455563,170477,שבת מברכים שבט,א,1,10,10.0
7,2455591,30297,שבת מברכים אדר,א,1,10,10.0
7,2455619,0,שבת מברכים אדר ב,א,1,10,10.0
7,2455654,30306,שבת מברכים ניסן,א-ב,2,10,5.0
7,2455682,30312,שבת מברכים אייר,א-ב,2,10,5.0
7,2455710,30318,שבת מברכים סיון,א-ב,2,10,5.0
7,2455738,30324,שבת מברכים תמוז,א-ב,2,10,5.0
7,2455773,11563,שבת מברכים מנחם-אב,א-ב,2,10,5.0
7,2455801,30260,שבת מברכים אלול,א-ב,2,10,5.0
8,2455444,30343,שבת מברכים תשרי,א-ב,2,10,5.0
8,2455472,30350,שבת מברכים חשון,א-ב,2,10,5.0
8,2455500,0,שבת מברכים כסלו,א-ב,2,10,5.0
8,2455535,169251,שבת מברכים טבת,א-ב,2,10,5.0
8,2455563,170479,שבת מברכים שבט,א-ב,2,10,5.0
8,2455591,32976,שבת מברכים אדר,א-ב,2,10,5.0
8,2455619,0,שבת מברכים אדר ב,א-ב,2,10,5.0
8,2455654,32985,שבת מברכים ניסן,א-ג,3,15,5.0
8,2455682,32991,שבת מברכים אייר,א-ג,3,15,5.0
8,2455710,11588,שבת מברכים סיון,א-ג,3,15,5.0
8,2455738,33003,שבת מברכים תמוז,א-ג,3,15,5.0
8,2455773,33009,שבת מברכים מנחם-אב,א-ג,3,15,5.0
8,2455801,30337,שבת מברכים אלול,א-ג,3,15,5.0
9,2455444,33029,שבת מברכים תשרי,א-ד,4,20,5.0
9,2455472,33036,שבת מברכים חשון,א-ד,4,20,5.0
9,2455500,0,שבת מברכים כסלו,א-ד,4,20,5.0
9,2455535,169252,שבת מברכים טבת,א-ד,4,20,5.0
9,2455563,170480,שבת מברכים שבט,א-ד,4,20,5.0
9,2455591,33060,שבת מברכים אדר,א-ד,4,20,5.0
9,2455619,0,שבת מברכים אדר ב,א-ד,4,20,5.0
9,2455654,33069,שבת מברכים ניסן,א-ה,5,25,5.0
9,2455682,33075,שבת מברכים אייר,א-ה,5,25,5.0
9,2455710,33081,שבת מברכים סיון,א-ה,5,25,5.0
9,2455738,33087,שבת מברכים תמוז,א-ה,5,25,5.0
9,2455773,33093,שבת מברכים מנחם-אב,א-ה,5,25,5.0
9,2455801,33023,שבת מברכים אלול,א-ה,5,25,5.0
10,2455444,33106,שבת מברכים תשרי,א-ה,5,25,5.0
10,2455472,33113,שבת מברכים חשון,א-ה,5,25,5.0
10,2455500,0,שבת מברכים כסלו,א-ה,5,25,5.0
10,2455535,169253,שבת מברכים טבת,א-ה,5,25,5.0
10,2455563,170481,שבת מברכים שבט,א-ה,5,25,5.0
10,2455591,33137,שבת מברכים אדר,א-ה,5,25,5.0
10,2455619,0,שבת מברכים אדר ב,א-ה,5,25,5.0
10,2455654,33146,שבת מברכים ניסן,א-ו,6,26,4.3
10,2455682,33152,שבת מברכים אייר,א-ו,6,26,4.3
10,2455710,33158,שבת מברכים סיון,א-ו,6,26,4.3
10,2455738,33164,שבת מברכים תמוז,א-ו,6,26,4.3
10,2455773,33170,שבת מברכים מנחם-אב,א-ו,6,26,4.3
10,2455801,33100,שבת מברכים אלול,א-ו,6,26,4.3
11,2455444,33182,שבת מברכים תשרי,א-ז,7,30,4.3
