"Task ID","SUBJECT","MISSION","# OF TASKS","Task Name","Label","Sequence Name","Sequence Number"
137979,"???? ??? ??","Parshas Shmos",1,"Did tanaya all seven days","Davening like a Chayol","TBP",20
137977,"???? ??? ??","Parshas Shmos",1,"Friday","Davening like a Chayol","TBP",20
137973,"???? ??? ??","Parshas Shmos",1,"MOnday","Davening like a Chayol","TBP",20
137978,"???? ??? ??","Parshas Shmos",1,"Shabbos","Davening like a Chayol","TBP",20
137972,"???? ??? ??","Parshas Shmos",1,"sunday","Davening like a Chayol","TBP",20
137976,"???? ??? ??","Parshas Shmos",1,"Thursday","Davening like a Chayol","TBP",20
137974,"???? ??? ??","Parshas Shmos",1,"Tuesday","Davening like a Chayol","TBP",20
63443,"???????","???? ??",66527,"I said my quota of the Rebbe's kapital every day of the week","Davening like a Chayol","Rebbe's Kapital ",40
63491,"???????","???? ??",97,"I said the Rebbe's kapital every day","Davening like a Chayol","Rebbe's Kapital ",40
96359,"???????","???? ??????",66,"I said the Rebbe's kapital every day of the week","Davening like a Chayol","Rebbe's Kapital ",40
104285,"???????","???? ???",51,"Part 1 ???? ??? I said my quota of the Rebbe's kapital every day of the week","Davening like a Chayol","Rebbe's Kapital ",40
104048,"???????","???? ??",1,"Part 4 ???? ???? I said my quota of the Rebbe's kapital every day of the week","Davening like a Chayol","Rebbe's Kapital ",40
104511,"???????","???? ????",1,"? I said my quota of the Rebbe's kapital every day of the week","Davening like a Chayol","Rebbe's Kapital ",40
72633,"???????","Chodesh Cheshvan",64,"???? ???? I said my quota of the Rebbe's kapital every day of the week","Davening like a Chayol","Rebbe's Kapital ",40
65889,"???????","Chodesh Cheshvan",28,"???? ???? I said the Rebbe's kapital every day","Davening like a Chayol","Rebbe's Kapital ",40
96305,"???????","???? ?????",1,"???? ????? I said the Rebbe's kapital every day of the week","Davening like a Chayol","Rebbe's Kapital ",40
72634,"???????","Chodesh Cheshvan",64,"???? ??? ??? I said my quota of the Rebbe's kapital every day of the week","Davening like a Chayol","Rebbe's Kapital ",40
65890,"???????","Chodesh Cheshvan",29,"???? ??? ??? I said the Rebbe's kapital every day","Davening like a Chayol","Rebbe's Kapital ",40
72632,"???????","Chodesh Cheshvan",64,"???? ?? ?? I said my quota of the Rebbe's kapital every day of the week","Davening like a Chayol","Rebbe's Kapital ",40
65888,"???????","Chodesh Cheshvan",28,"???? ?? ?? I said the Rebbe's kapital every day","Davening like a Chayol","Rebbe's Kapital ",40
72631,"???????","Chodesh Cheshvan",109,"???? ?? I said my quota of the Rebbe's kapital every day of the week","Davening like a Chayol","Rebbe's Kapital ",40
65439,"???????","???? ??",34,"???? ?? I said the Rebbe's kapital every day","Davening like a Chayol","Rebbe's Kapital ",40
96247,"???????","???? ??????",5,"???? ?????? I said the Rebbe's kapital every day of the week","Davening like a Chayol","Rebbe's Kapital ",40
63499,"???????","???? ??",53169,"I said the Rebbe's pesukim in Shmona Esrei everyday of the week","Davening like a Chayol","Shemone Esrei",30
104293,"???????","???? ???",6,"Part 1 ???? ??? I said the Rebbe's Pesukim in Shmona Esrei everyday of the week","Davening like a Chayol","Shemone Esrei",30
