Chidon ID,Team Name,Bunk Name,Test Table #,Bowling Lane
793,???? ??????,?-4,25,1
726,???? ??????,?-4,28,1
2004,???? ??????,?-4,38,1
228,???? ??????,?-4,47,1
291,???? ??????,?-4,48,1
857,???? ??????,?-4,49,2
1341,???? ??????,?-4,51,2
131,???? ??????,?-4,13,2
327,???? ??????,?-4,29,2
1810,???? ??????,?-4,8,2
337,???? ??????,?-4,34,3
599,???? ??????,?-4,36,3
464,???? ??????,?-4,40,3
737,???? ??????,?-4,55,3
1111,???? ??????,?-4,14,3
2025,???? ??????,?-4,24,3
1756,???? ??????,?-4,36,4
518,???? ??????,?-4,38,4
504,????? ???????,?-4,5,4
1526,????? ???????,?-4,14,4
2021,????? ???????,?-4,21,4
808,????? ???????,?-4,26,5
453,????? ???????,?-4,1,5
1767,????? ???????,?-4,23,5
1040,????? ???????,?-4,33,5
770,????? ???????,?-4,40,5
99,????? ???????,?-4,47,5
594,????? ???????,?-4,1,6
1227,????? ???????,?-4,20,6
316,????? ???????,?-4,2,6
740,????? ???????,?-4,7,6
1720,????? ???????,?-4,18,6
911,????? ???????,?-4,21,7
505,????? ???????,?-4,30,7
1151,????? ???????,?-4,43,7
396,????? ???????,?-4,46,7
1199,"???? ????""?",?-4,9,7
1641,"???? ????""?",?-4,13,7
236,"???? ????""?",?-4,31,8
12,"???? ????""?",?-4,41,8
307,"???? ????""?",?-4,52,8
715,"???? ????""?",?-4,5,8
1393,"???? ????""?",?-4,11,8
114,"???? ????""?",?-4,22,9
516,"???? ????""?",?-4,25,9
1204,"???? ????""?",?-4,18,9
443,"???? ????""?",?-4,53,9
866,"???? ????""?",?-4,54,9
480,"???? ????""?",?-4,57,9
674,"???? ????""?",?-4,17,10
213,"???? ????""?",?-4,19,10
1360,"???? ????""?",?-4,27,10
1640,"???? ????""?",?-4,37,10
1265,"???? ????""?",?-4,41,10
1063,??? ??????,?-4,24,11
212,??? ??????,?-4,32,11
227,??? ??????,?-4,37,11
1933,??? ??????,?-4,46,11
542,??? ??????,?-4,56,11
79,??? ??????,?-4,58,12
1046,??? ??????,?-4,3,12
560,??? ??????,?-4,39,12
612,??? ??????,?-4,42,12
809,??? ??????,?-4,2,12
416,??? ??????,?-4,11,13
1019,??? ??????,?-4,22,13
1686,??? ??????,?-4,27,13
279,??? ??????,?-4,39,13
2045,??? ??????,?-4,50,13
393,??? ??????,?-4,59,13
487,??? ??????,?-4,60,14
436,??? ??????,?-4,9,14
1263,?? ?????,?-4,12,14
564,?? ?????,?-4,23,14
72,?? ?????,?-4,30,14
909,?? ?????,?-4,44,15
1822,?? ?????,?-4,8,15
738,?? ?????,?-4,16,15
1593,?? ?????,?-4,26,15
1603,?? ?????,?-4,32,15
783,?? ?????,?-4,45,15
285,?? ?????,?-4,10,16
897,?? ?????,?-4,17,16
100,?? ?????,?-4,33,16
1362,?? ?????,?-4,6,16
1165,?? ?????,?-4,12,16
1934,?? ?????,?-4,15,17
717,?? ?????,?-4,28,17
447,?? ?????,?-4,35,17
899,????? ???????,??-4,3,17
1198,????? ???????,??-4,7,17
948,????? ???????,??-4,15,17
825,????? ???????,??-4,16,18
345,????? ???????,??-4,35,18
492,????? ???????,??-4,42,18
531,????? ???????,??-4,10,18
1566,????? ???????,??-4,20,18
631,????? ???????,??-4,44,19
834,????? ???????,??-4,4,19
85,????? ???????,??-4,6,19
1746,????? ???????,??-4,19,19
1056,????? ???????,??-4,29,19
2055,????? ???????,??-4,43,19
1610,????? ???????,??-4,45,20
756,????? ???????,??-4,4,20
161,????? ???????,??-4,31,20
1995,????? ???????,??-4,34,20
616,???? ??????,?-5,52,20
1574,???? ??????,?-5,57,21
712,???? ??????,?-5,6,21
598,???? ??????,?-5,40,21
490,???? ??????,?-5,43,21
1953,???? ??????,?-5,51,21
2000,???? ??????,?-5,11,22
71,???? ??????,?-5,17,22
2054,???? ??????,?-5,26,22
1279,???? ??????,?-5,40,22
206,???? ??????,?-5,48,22
1238,???? ??????,?-5,56,23
678,???? ??????,?-5,60,23
919,???? ??????,?-5,4,23
1931,???? ??????,?-5,12,23
1685,???? ??????,?-5,26,23
1257,???? ??????,?-5,31,23
1793,???? ??????,?-5,59,24
111,???? ??????,?-5,30,24
510,???? ??????,?-5,34,24
1656,???? ??????,?-5,47,24
900,????? ???????,?-5,51,24
255,????? ???????,?-5,1,25
237,????? ???????,?-5,2,25
173,????? ???????,?-5,9,25
230,????? ???????,?-5,19,25
1837,????? ???????,?-5,20,25
496,????? ???????,?-5,28,25
219,????? ???????,?-5,58,26
479,????? ???????,?-5,5,26
321,????? ???????,?-5,18,26
290,????? ???????,?-5,27,26
121,????? ???????,?-5,55,26
1589,????? ???????,?-5,8,27
460,????? ???????,?-5,11,27
1062,????? ???????,?-5,21,27
328,????? ???????,?-5,33,27
541,????? ???????,?-5,54,27
821,????? ???????,?-5,3,27
211,????? ???????,?-5,12,28
339,????? ???????,?-5,37,28
1438,????? ???????,?-5,43,28
254,"???? ????""?",?-5,23,28
797,"???? ????""?",?-5,27,28
46,"???? ????""?",?-5,39,29
869,"???? ????""?",?-5,53,29
993,"???? ????""?",?-5,1,29
421,"???? ????""?",?-5,2,29
755,"???? ????""?",?-5,6,29
536,"???? ????""?",?-5,9,29
872,"???? ????""?",?-5,10,30
1977,"???? ????""?",?-5,22,30
729,"???? ????""?",?-5,24,30
1561,"???? ????""?",?-5,49,30
365,"???? ????""?",?-5,58,30
1991,"???? ????""?",?-5,17,31
719,"???? ????""?",?-5,30,31
313,"???? ????""?",?-5,36,31
40,"???? ????""?",?-5,49,31
966,"???? ????""?",?-5,4,31
17,"???? ????""?",?-5,15,32
624,"???? ????""?",?-5,33,32
1473,"???? ????""?",?-5,51,32
1022,??? ??????,?-5,48,32
330,??? ??????,?-5,50,32
232,??? ??????,?-5,59,33
1918,??? ??????,?-5,15,33
635,??? ??????,?-5,16,33
606,??? ??????,?-5,29,33
724,??? ??????,?-5,35,33
1575,??? ??????,?-5,45,33
877,??? ??????,?-5,14,34
247,??? ??????,?-5,36,34
2013,??? ??????,?-5,41,34
338,??? ??????,?-5,3,34
918,??? ??????,?-5,7,34
467,??? ??????,?-5,34,35
680,??? ??????,?-5,41,35
1008,??? ??????,?-5,60,35
888,??? ??????,?-5,28,35
295,??? ??????,?-5,32,35
2047,??? ??????,?-5,46,35
1823,??? ??????,?-5,49,36
68,??? ??????,?-5,52,36
60,?? ?????,?-5,37,36
2036,?? ?????,?-5,42,36
752,?? ?????,?-5,48,36
30,?? ?????,?-5,57,37
1021,?? ?????,?-5,16,37
481,?? ?????,?-5,23,37
215,?? ?????,?-5,25,37
179,?? ?????,?-5,35,37
1129,?? ?????,?-5,38,37
41,?? ?????,?-5,50,38
494,?? ?????,?-5,53,38
1778,?? ?????,?-5,54,38
1018,?? ?????,?-5,18,38
1942,?? ?????,?-5,44,38
1586,?? ?????,?-5,52,39
89,?? ?????,?-5,7,39
54,?? ?????,?-5,13,39
625,?? ?????,?-5,19,39
1893,?? ?????,?-5,44,39
1585,?? ?????,?-5,45,39
2053,????? ???????,??-5,10,40
1391,????? ???????,??-5,13,40
75,????? ???????,??-5,25,40
226,????? ???????,??-5,32,40
1203,????? ???????,??-5,38,40
1210,????? ???????,??-5,47,41
716,????? ???????,??-5,55,41
1228,????? ???????,??-5,56,41
1025,????? ???????,??-5,29,41
293,????? ???????,??-5,39,41
848,????? ???????,??-5,42,41
234,????? ???????,??-5,5,42
1941,????? ???????,??-5,14,42
353,????? ???????,??-5,22,42
44,????? ???????,??-5,24,42
1258,????? ???????,??-5,46,42
1000,????? ???????,??-5,50,43
1835,????? ???????,??-5,8,43
2052,????? ???????,??-5,20,43
83,????? ???????,??-5,21,43
1808,????? ???????,??-5,31,43
822,???? ??????,?-6,29,1
1970,???? ??????,?-6,49,1
1298,???? ??????,?-6,54,1
1978,???? ??????,?-6,55,1
1320,???? ??????,?-6,56,1
36,???? ??????,?-6,58,1
884,???? ??????,?-6,8,2
1908,???? ??????,?-6,2,2
1142,???? ??????,?-6,16,2
371,???? ??????,?-6,20,2
1555,???? ??????,?-6,34,2
732,???? ??????,?-6,45,2
768,???? ??????,?-6,46,3
167,???? ??????,?-6,11,3
2046,????? ???????,?-6,3,3
563,????? ???????,?-6,12,3
580,????? ???????,?-6,13,3
117,????? ???????,?-6,47,3
384,????? ???????,?-6,52,4
495,????? ???????,?-6,60,4
526,????? ???????,?-6,16,4
483,????? ???????,?-6,7,4
1402,????? ???????,?-6,17,4
723,????? ???????,?-6,21,4
1304,????? ???????,?-6,37,5
88,????? ???????,?-6,42,5
1527,????? ???????,?-6,57,5
455,????? ???????,?-6,7,5
846,"???? ????""?",?-6,54,5
462,"???? ????""?",?-6,5,5
25,"???? ????""?",?-6,6,6
1960,"???? ????""?",?-6,28,6
1319,"???? ????""?",?-6,2,6
1300,"???? ????""?",?-6,12,6
1220,"???? ????""?",?-6,14,6
1890,"???? ????""?",?-6,11,6
1993,"???? ????""?",?-6,19,7
1107,"???? ????""?",?-6,24,7
166,"???? ????""?",?-6,27,7
2015,"???? ????""?",?-6,48,7
1241,"???? ????""?",?-6,50,7
1312,"???? ????""?",?-6,6,7
1318,??? ??????,?-6,15,8
1055,??? ??????,?-6,18,8
305,??? ??????,?-6,31,8
346,??? ??????,?-6,40,8
472,??? ??????,?-6,44,8
1324,??? ??????,?-6,4,8
1076,??? ??????,?-6,5,9
130,??? ??????,?-6,59,9
1579,??? ??????,?-6,4,9
633,??? ??????,?-6,32,9
325,??? ??????,?-6,38,9
140,??? ??????,?-6,39,9
315,??? ??????,?-6,10,10
408,??? ??????,?-6,15,10
638,?? ?????,?-6,53,10
1295,?? ?????,?-6,57,10
64,?? ?????,?-6,26,10
1323,?? ?????,?-6,33,10
600,?? ?????,?-6,35,11
1181,?? ?????,?-6,51,11
29,?? ?????,?-6,9,11
274,?? ?????,?-6,58,11
1297,?? ?????,?-6,22,11
26,?? ?????,?-6,36,11
310,?? ?????,?-6,43,12
341,?? ?????,?-6,53,12
2024,?? ?????,?-6,59,12
515,?? ?????,?-6,1,12
9,????? ???????,??-6,55,12
123,????? ???????,??-6,56,12
677,????? ???????,??-6,1,13
344,????? ???????,??-6,14,13
828,????? ???????,??-6,23,13
7,????? ???????,??-6,25,13
1655,????? ???????,??-6,13,13
1600,????? ???????,??-6,60,13
1316,????? ???????,??-6,8,14
1296,????? ???????,??-6,9,14
397,????? ???????,??-6,10,14
901,????? ???????,??-6,30,14
513,????? ???????,??-6,41,14
1311,????? ???????,??-6,3,14
692,???? ??????,?-7,25,15
2058,???? ??????,?-7,42,15
559,???? ??????,?-7,54,15
62,???? ??????,?-7,10,15
381,???? ??????,?-7,23,15
1740,???? ??????,?-7,37,15
476,???? ??????,?-7,39,16
20,???? ??????,?-7,38,16
1149,???? ??????,?-7,39,16
676,???? ??????,?-7,33,16
1974,???? ??????,?-7,43,16
1288,???? ??????,?-7,4,16
43,???? ??????,?-7,18,17
134,???? ??????,?-7,40,17
1766,???? ??????,?-7,43,17
1676,???? ??????,?-7,44,17
1906,???? ??????,?-7,41,17
78,????? ???????,?-7,20,17
528,????? ???????,?-7,27,18
1261,????? ???????,?-7,35,18
1972,????? ???????,?-7,1,18
1481,????? ???????,?-7,3,18
251,????? ???????,?-7,11,18
681,????? ???????,?-7,32,18
289,????? ???????,?-7,32,19
205,????? ???????,?-7,42,19
284,????? ???????,?-7,30,19
1303,????? ???????,?-7,53,19
766,????? ???????,?-7,56,19
1909,????? ???????,?-7,5,19
1536,????? ???????,?-7,9,20
1964,????? ???????,?-7,16,20
967,????? ???????,?-7,17,20
1310,????? ???????,?-7,35,20
1649,"???? ????""?",?-7,19,20
1179,"???? ????""?",?-7,21,20
1027,"???? ????""?",?-7,29,21
1314,"???? ????""?",?-7,32,21
1986,"???? ????""?",?-7,2,21
1924,"???? ????""?",?-7,6,21
1954,"???? ????""?",?-7,20,21
965,"???? ????""?",?-7,22,21
1307,"???? ????""?",?-7,24,22
1053,"???? ????""?",?-7,18,22
701,"???? ????""?",?-7,26,22
1317,"???? ????""?",?-7,36,22
507,"???? ????""?",?-7,52,22
605,"???? ????""?",?-7,55,22
806,"???? ????""?",?-7,30,23
666,"???? ????""?",?-7,41,23
102,"???? ????""?",?-7,33,23
105,??? ??????,?-7,37,23
1102,??? ??????,?-7,45,23
1054,??? ??????,?-7,59,23
2050,??? ??????,?-7,7,24
706,??? ??????,?-7,12,24
754,??? ??????,?-7,15,24
1987,??? ??????,?-7,26,24
1067,??? ??????,?-7,28,24
720,??? ??????,?-7,38,24
2056,??? ??????,?-7,34,25
437,??? ??????,?-7,39,25
197,??? ??????,?-7,58,25
1663,??? ??????,?-7,8,25
679,??? ??????,?-7,19,25
200,??? ??????,?-7,21,25
811,??? ??????,?-7,46,26
1491,??? ??????,?-7,37,26
691,?? ?????,?-7,24,26
2057,?? ?????,?-7,40,26
1221,?? ?????,?-7,46,26
1146,?? ?????,?-7,48,26
248,?? ?????,?-7,29,27
1711,?? ?????,?-7,35,27
478,?? ?????,?-7,45,27
915,?? ?????,?-7,47,27
1961,?? ?????,?-7,34,27
813,?? ?????,?-7,17,27
491,?? ?????,?-7,31,28
916,?? ?????,?-7,38,28
45,?? ?????,?-7,50,28
648,?? ?????,?-7,51,28
1313,?? ?????,?-7,25,28
320,?? ?????,?-7,34,28
1278,?? ?????,?-7,36,29
1301,?? ?????,?-7,40,29
1381,????? ???????,??-7,23,29
1367,????? ???????,??-7,41,29
759,????? ???????,??-7,44,29
1233,????? ???????,??-7,49,29
1143,????? ???????,??-7,57,30
2068,????? ???????,??-7,13,30
1309,????? ???????,??-7,14,30
512,????? ???????,??-7,27,30
485,????? ???????,??-7,43,30
1260,????? ???????,??-7,22,30
1672,????? ???????,??-7,28,31
1061,????? ???????,??-7,47,31
1556,????? ???????,??-7,60,31
1762,????? ???????,??-7,31,31
260,????? ???????,??-7,33,31
601,????? ???????,??-7,36,31
977,????? ???????,??-7,42,32
1350,???? ??????,?-8,50,32
390,???? ??????,?-8,7,32
803,???? ??????,?-8,9,32
1352,???? ??????,?-8,13,32
1915,???? ??????,?-8,34,32
1963,???? ??????,?-8,42,33
603,???? ??????,?-8,48,33
1664,???? ??????,?-8,17,33
2014,???? ??????,?-8,30,33
886,???? ??????,?-8,53,33
1597,???? ??????,?-8,4,33
1345,???? ??????,?-8,16,34
1547,???? ??????,?-8,25,34
782,???? ??????,?-8,2,34
42,???? ??????,?-8,7,34
621,???? ??????,?-8,60,34
1500,???? ??????,?-8,13,34
898,???? ??????,?-8,18,34
357,????? ???????,?-8,51,35
1534,????? ???????,?-8,56,35
1108,????? ???????,?-8,57,35
835,????? ???????,?-8,3,35
1530,????? ???????,?-8,6,35
218,????? ???????,?-8,19,35
1674,????? ???????,?-8,21,36
369,????? ???????,?-8,39,36
649,????? ???????,?-8,15,36
1353,????? ???????,?-8,14,36
