Year,Julian Date,Mission ID,Mission,Kapitelach,Amount,Minutes,Speed
6,2455444,34031,שבת מברכים תשרי,א-ז,7,30,4.3
6,2455472,34038,שבת מברכים חשון,א-ז,7,30,4.3
6,2455500,0,שבת מברכים כסלו,א-ז,7,30,4.3
6,2455535,169294,שבת מברכים טבת,א-ח,8,30,3.8
6,2455563,170761,שבת מברכים שבט,א-ח,8,30,3.8
6,2455591,34062,שבת מברכים אדר,א-ח,8,30,3.8
6,2455619,0,שבת מברכים אדר ב,א-ח,8,30,3.8
6,2455654,34071,שבת מברכים ניסן,א-ט,9,36,4.0
6,2455682,34077,שבת מברכים אייר,א-ט,9,36,4.0
6,2455710,34083,שבת מברכים סיון,א-ט,9,36,4.0
6,2455738,34089,שבת מברכים תמוז,א-י,10,35,3.5
6,2455773,34095,שבת מברכים מנחם-אב,א-י,10,35,3.5
6,2455801,34025,שבת מברכים אלול,א-י,10,35,3.5
7,2455444,34187,שבת מברכים תשרי,א-יא,11,38,3.5
7,2455472,34194,שבת מברכים חשון,א-יא,11,38,3.5
7,2455500,0,שבת מברכים כסלו,א-יא,11,38,3.5
7,2455535,169295,שבת מברכים טבת,א-יב,12,42,3.5
7,2455563,170762,שבת מברכים שבט,א-יג,13,45,3.5
7,2455591,34218,שבת מברכים אדר,א-יג,13,45,3.5
7,2455619,0,שבת מברכים אדר ב,א-יג,13,45,3.5
7,2455654,34227,שבת מברכים ניסן,א-יד,14,45,3.2
7,2455682,34233,שבת מברכים אייר,א-יד,14,45,3.2
7,2455710,34239,שבת מברכים סיון,א-טו,15,45,3.0
7,2455738,34245,שבת מברכים תמוז,א-טו,15,45,3.0
7,2455773,34251,שבת מברכים מנחם-אב,א-טז,16,50,3.1
7,2455801,34181,שבת מברכים אלול,א-טז,16,50,3.1
8,2455444,34418,שבת מברכים תשרי,א-יז,17,52,3.1
8,2455472,34425,שבת מברכים חשון,א-יח,18,55,3.1
8,2455500,0,שבת מברכים כסלו,א-יח,18,55,3.1
8,2455535,169296,שבת מברכים טבת,א-יט,19,58,3.1
8,2455563,170763,שבת מברכים שבט,א-כב,22,65,3.0
8,2455591,34449,שבת מברכים אדר,א-כב,22,65,3.0
8,2455619,0,שבת מברכים אדר ב,א-כב,22,65,3.0
8,2455654,34455,שבת מברכים ניסן,א-כד,24,70,2.9
8,2455682,34559,שבת מברכים אייר,א-כה,25,73,2.9
8,2455710,34461,שבת מברכים סיון,א-כו,26,75,2.9
8,2455738,34467,שבת מברכים תמוז,א-כז,27,77,2.9
8,2455773,34473,שבת מברכים מנחם-אב,א-כח,28,80,2.9
8,2455801,34412,שבת מברכים אלול,א-כט,29,80,2.8
9,2455444,34486,שבת מברכים תשרי,א-לא,31,80,2.6
9,2455472,34493,שבת מברכים חשון,א-לג,33,80,2.4
9,2455500,0,שבת מברכים כסלו,א-לה,35,80,2.3
9,2455535,169297,שבת מברכים טבת,א-לז,37,80,2.2
9,2455563,170764,שבת מברכים שבט,א-לט,39,80,2.1
9,2455591,34517,שבת מברכים אדר,א-מ,40,80,2.0
9,2455619,0,שבת מברכים אדר ב,א-מ,40,80,2.0
9,2455654,34526,שבת מברכים ניסן,א-מא,41,80,2.0
9,2455682,34532,שבת מברכים אייר,א-מג,43,80,1.9
9,2455710,34538,שבת מברכים סיון,א-מד,44,80,1.8
9,2455738,34544,שבת מברכים תמוז,א-מו,46,85,1.8
9,2455773,34550,שבת מברכים מנחם-אב,א-מט,49,90,1.8
9,2455801,34480,שבת מברכים אלול,א-נ,50,90,1.8
10,2455444,164314,שבת מברכים תשרי,א-נד,54,90,1.7
10,2455472,164321,שבת מברכים חשון,א-נו,56,90,1.6
10,2455500,0,שבת מברכים כסלו,א-נז,57,90,1.6
10,2455535,170176,שבת מברכים טבת,א-נט,59,90,1.5
10,2455563,170765,שבת מברכים שבט,א-סא,61,90,1.5
10,2455591,178149,שבת מברכים אדר,א-סג,63,90,1.4
10,2455619,0,שבת מברכים אדר ב,א-סג,63,90,1.4
10,2455654,180880,שבת מברכים ניסן,א-סה,65,90,1.4
10,2455682,182530,שבת מברכים אייר,א-סז,67,90,1.3
